,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,99,-100.0,-100.0,0.0,0,100
1,199,-100.0,-100.0,0.0,0,100
2,299,-100.0,-100.0,0.0,0,100
3,399,-100.0,-100.0,0.0,0,100
4,499,-100.0,-100.0,0.0,0,100
5,599,-100.0,-100.0,0.0,0,100
6,699,-110.0,-110.0,0.0,0,100
7,799,-100.0,-100.0,0.0,0,100
8,899,-100.0,-100.0,0.0,0,100
9,999,-100.0,-100.0,0.0,0,100
10,1099,-100.0,-100.0,0.0,0,100
11,1199,-100.0,-100.0,0.0,0,100
12,1299,-110.0,-110.0,0.0,0,100
13,1399,-100.0,-100.0,0.0,0,100
14,1499,-110.0,-110.0,0.0,0,100
15,1599,-100.0,-100.0,0.0,0,100
16,1699,-100.0,-100.0,0.0,0,100
17,1799,-110.0,-110.0,0.0,0,100
18,1899,-100.0,-100.0,0.0,0,100
19,1999,-100.0,-100.0,0.0,0,100
20,2099,-100.0,-100.0,0.0,0,100
21,2199,-130.0,-130.0,0.0,0,100
22,2299,-100.0,-100.0,0.0,0,100
23,2399,-100.0,-100.0,0.0,0,100
24,2499,-100.0,-100.0,0.0,0,100
25,2599,-100.0,-100.0,0.0,0,100
26,2699,-200.0,-200.0,0.0,0,100
27,2799,-100.0,-100.0,0.0,0,100
28,2899,-130.0,-130.0,0.0,0,100
29,2999,-100.0,-100.0,0.0,0,100
30,3099,-100.0,-100.0,0.0,0,100
31,3199,-150.0,-150.0,0.0,0,100
32,3299,-100.0,-100.0,0.0,0,100
33,3399,-100.0,-100.0,0.0,0,100
34,3499,-100.0,-100.0,0.0,0,100
35,3599,-110.0,-110.0,0.0,0,100
36,3699,-130.0,-130.0,0.0,0,100
37,3799,-110.0,-110.0,0.0,0,100
38,3899,-260.0,-260.0,0.0,0,100
39,3999,-210.0,-210.0,0.0,0,100
40,4099,-150.0,-150.0,0.0,0,100
41,4199,-100.0,-100.0,0.0,0,100
42,4299,-160.0,-160.0,0.0,0,100
43,4399,-100.0,-100.0,0.0,0,100
44,4499,-100.0,-100.0,0.0,0,100
45,4599,-140.0,-140.0,0.0,0,100
46,4699,-100.0,-100.0,0.0,0,100
47,4799,-170.0,-170.0,0.0,0,100
48,4899,-140.0,-140.0,0.0,0,100
49,4999,-100.0,-100.0,0.0,0,100
50,5099,-100.0,-100.0,0.0,0,100
51,5199,-150.0,-150.0,0.0,0,100
52,5299,-100.0,-100.0,0.0,0,100
53,5399,-100.0,-100.0,0.0,0,100
54,5499,-190.0,-190.0,0.0,0,100
55,5599,-110.0,-110.0,0.0,0,100
56,5699,-160.0,-160.0,0.0,0,100
57,5799,-140.0,-140.0,0.0,0,100
58,5899,-150.0,-150.0,0.0,0,100
59,5999,-150.0,-150.0,0.0,0,100
60,6099,-160.0,-160.0,0.0,0,100
61,6199,-270.0,-270.0,0.0,0,100
62,6299,-100.0,-100.0,0.0,0,100
63,6399,-130.0,-130.0,0.0,0,100
64,6499,-100.0,-100.0,0.0,0,100
65,6599,-350.0,-350.0,0.0,0,100
66,6699,-140.0,-140.0,0.0,0,100
67,6799,-170.0,-170.0,0.0,0,100
68,6899,-190.0,-190.0,0.0,0,100
69,6999,-190.0,-190.0,0.0,0,100
70,7099,-100.0,-100.0,0.0,0,100
71,7199,-260.0,-260.0,0.0,0,100
72,7299,-120.0,-120.0,0.0,0,100
73,7399,-220.0,-220.0,0.0,0,100
74,7499,-160.0,-160.0,0.0,0,100
75,7599,-200.0,-200.0,0.0,0,100
76,7699,-100.0,-100.0,0.0,0,100
77,7799,-190.0,-190.0,0.0,0,100
78,7899,-250.0,-250.0,0.0,0,100
79,7999,-240.0,-240.0,0.0,0,100
80,8099,-110.0,-110.0,0.0,0,100
81,8199,-210.0,-210.0,0.0,0,100
82,8299,-100.0,-100.0,0.0,0,100
83,8399,-160.0,-160.0,0.0,0,100
84,8499,-120.0,-120.0,0.0,0,100
85,8599,-140.0,-140.0,0.0,0,100
86,8699,-100.0,-100.0,0.0,0,100
87,8799,-100.0,-100.0,0.0,0,100
88,8899,-110.0,-110.0,0.0,0,100
89,8999,-170.0,-170.0,0.0,0,100
90,9099,-120.0,-120.0,0.0,0,100
91,9199,-130.0,-130.0,0.0,0,100
92,9299,-170.0,-170.0,0.0,0,100
93,9399,-150.0,-150.0,0.0,0,100
94,9499,-180.0,-180.0,0.0,0,100
95,9599,-170.0,-170.0,0.0,0,100
96,9699,-230.0,-230.0,0.0,0,100
97,9799,-190.0,-190.0,0.0,0,100
98,9899,-230.0,-230.0,0.0,0,100
99,9999,-130.0,-130.0,0.0,0,100
100,10099,-150.0,-150.0,0.0,0,100
101,10199,-180.0,-180.0,0.0,0,100
102,10299,-380.0,-380.0,0.0,0,100
103,10399,-150.0,-150.0,0.0,0,100
104,10499,-280.0,-280.0,0.0,0,100
105,10599,-100.0,-100.0,0.0,0,100
106,10699,-110.0,-110.0,0.0,0,100
107,10799,-180.0,-180.0,0.0,0,100
108,10899,-150.0,-150.0,0.0,0,100
109,10999,-140.0,-140.0,0.0,0,100
110,11099,-200.0,-200.0,0.0,0,100
111,11199,-110.0,-110.0,0.0,0,100
112,11299,-120.0,-120.0,0.0,0,100
113,11399,-150.0,-150.0,0.0,0,100
114,11499,-420.0,-420.0,0.0,0,100
115,11599,-100.0,-100.0,0.0,0,100
116,11699,-100.0,-100.0,0.0,0,100
117,11799,-100.0,-100.0,0.0,0,100
118,11899,-100.0,-100.0,0.0,0,100
119,11999,-100.0,-100.0,0.0,0,100
120,12099,-100.0,-100.0,0.0,0,100
121,12199,-100.0,-100.0,0.0,0,100
122,12299,-110.0,-110.0,0.0,0,100
123,12399,-100.0,-100.0,0.0,0,100
124,12499,-130.0,-130.0,0.0,0,100
125,12599,-110.0,-110.0,0.0,0,100
126,12699,-100.0,-100.0,0.0,0,100
127,12799,-110.0,-110.0,0.0,0,100
128,12899,-120.0,-120.0,0.0,0,100
129,12999,-100.0,-100.0,0.0,0,100
130,13099,-100.0,-100.0,0.0,0,100
131,13199,-100.0,-100.0,0.0,0,100
132,13299,-130.0,-130.0,0.0,0,100
133,13399,-140.0,-140.0,0.0,0,100
134,13499,-100.0,-100.0,0.0,0,100
135,13599,-200.0,-200.0,0.0,0,100
136,13699,-100.0,-100.0,0.0,0,100
137,13799,-150.0,-150.0,0.0,0,100
138,13899,-140.0,-140.0,0.0,0,100
139,13999,-150.0,-150.0,0.0,0,100
140,14099,-100.0,-100.0,0.0,0,100
141,14199,-180.0,-180.0,0.0,0,100
142,14299,-100.0,-100.0,0.0,0,100
143,14399,-130.0,-130.0,0.0,0,100
144,14499,-130.0,-130.0,0.0,0,100
145,14599,-110.0,-110.0,0.0,0,100
146,14699,-100.0,-100.0,0.0,0,100
147,14799,-100.0,-100.0,0.0,0,100
