,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,99,7.5,7.5,0.0,0,100
1,199,0.0,0.0,0.0,0,100
2,299,1.5,1.5,0.0,0,100
3,399,0.0,0.0,0.0,0,100
4,499,2.0,2.0,0.0,0,100
5,599,0.5,0.5,0.0,0,100
6,699,2.5,2.5,0.0,0,100
7,799,0.5,0.5,0.0,0,100
8,899,0.5,0.5,0.0,0,100
9,999,18.0,18.0,0.0,0,100
10,1099,1.0,1.0,0.0,0,100
11,1199,3.5,3.5,0.0,0,100
12,1299,1.0,1.0,0.0,0,100
13,1399,5.5,5.5,0.0,0,100
14,1499,0.5,0.5,0.0,0,100
15,1599,0.5,0.5,0.0,0,100
16,1699,0.0,0.0,0.0,0,100
17,1799,0.0,0.0,0.0,0,100
18,1899,0.0,0.0,0.0,0,100
19,1999,0.0,0.0,0.0,0,100
20,2099,1.0,1.0,0.0,0,100
21,2199,1.5,1.5,0.0,0,100
22,2299,0.0,0.0,0.0,0,100
23,2399,0.0,0.0,0.0,0,100
24,2499,1.0,1.0,0.0,0,100
25,2599,0.0,0.0,0.0,0,100
26,2699,1.0,1.0,0.0,0,100
27,2799,1.0,1.0,0.0,0,100
28,2899,0.0,0.0,0.0,0,100
29,2999,0.0,0.0,0.0,0,100
30,3099,0.0,0.0,0.0,0,100
31,3199,3.5,3.5,0.0,0,100
32,3299,0.5,0.5,0.0,0,100
33,3399,0.0,0.0,0.0,0,100
34,3499,2.0,2.0,0.0,0,100
35,3599,0.5,0.5,0.0,0,100
36,3699,0.0,0.0,0.0,0,100
37,3799,0.0,0.0,0.0,0,100
38,3899,0.0,0.0,0.0,0,100
39,3999,8.5,8.5,0.0,0,100
40,4099,0.0,0.0,0.0,0,100
41,4199,0.0,0.0,0.0,0,100
42,4299,1.5,1.5,0.0,0,100
43,4399,0.0,0.0,0.0,0,100
44,4499,0.0,0.0,0.0,0,100
45,4599,0.0,0.0,0.0,0,100
46,4699,0.0,0.0,0.0,0,100
47,4799,0.0,0.0,0.0,0,100
48,4899,0.0,0.0,0.0,0,100
49,4999,0.0,0.0,0.0,0,100
50,5099,0.0,0.0,0.0,0,100
51,5199,0.0,0.0,0.0,0,100
52,5299,2.0,2.0,0.0,0,100
53,5399,0.0,0.0,0.0,0,100
54,5499,0.5,0.5,0.0,0,100
55,5599,2.0,2.0,0.0,0,100
56,5699,1.0,1.0,0.0,0,100
57,5799,0.5,0.5,0.0,0,100
58,5899,0.0,0.0,0.0,0,100
59,5999,0.0,0.0,0.0,0,100
60,6099,0.0,0.0,0.0,0,100
61,6199,0.5,0.5,0.0,0,100
62,6299,0.0,0.0,0.0,0,100
63,6399,0.0,0.0,0.0,0,100
64,6499,2.0,2.0,0.0,0,100
65,6599,0.0,0.0,0.0,0,100
66,6699,2.0,2.0,0.0,0,100
67,6799,0.0,0.0,0.0,0,100
68,6899,1.5,1.5,0.0,0,100
69,6999,0.5,0.5,0.0,0,100
70,7099,0.0,0.0,0.0,0,100
71,7199,0.0,0.0,0.0,0,100
72,7299,1.0,1.0,0.0,0,100
73,7399,0.0,0.0,0.0,0,100
74,7499,0.0,0.0,0.0,0,100
75,7599,0.0,0.0,0.0,0,100
76,7699,0.0,0.0,0.0,0,100
77,7799,1.5,1.5,0.0,0,100
78,7899,1.0,1.0,0.0,0,100
79,7999,0.5,0.5,0.0,0,100
80,8099,1.5,1.5,0.0,0,100
81,8199,0.0,0.0,0.0,0,100
82,8299,0.0,0.0,0.0,0,100
83,8399,2.0,2.0,0.0,0,100
84,8499,0.5,0.5,0.0,0,100
85,8599,1.0,1.0,0.0,0,100
86,8699,1.0,1.0,0.0,0,100
87,8799,2.0,2.0,0.0,0,100
88,8899,1.0,1.0,0.0,0,100
89,8999,0.0,0.0,0.0,0,100
90,9099,0.5,0.5,0.0,0,100
91,9199,0.0,0.0,0.0,0,100
92,9299,0.0,0.0,0.0,0,100
93,9399,1.0,1.0,0.0,0,100
94,9499,1.5,1.5,0.0,0,100
95,9599,1.0,1.0,0.0,0,100
96,9699,0.5,0.5,0.0,0,100
97,9799,3.5,3.5,0.0,0,100
98,9899,0.5,0.5,0.0,0,100
99,9999,0.0,0.0,0.0,0,100
100,10099,0.0,0.0,0.0,0,100
101,10199,1.0,1.0,0.0,0,100
102,10299,1.0,1.0,0.0,0,100
103,10399,0.5,0.5,0.0,0,100
104,10499,2.5,2.5,0.0,0,100
105,10599,1.0,1.0,0.0,0,100
106,10699,9.0,9.0,0.0,0,100
107,10799,1.0,1.0,0.0,0,100
108,10899,0.0,0.0,0.0,0,100
109,10999,0.5,0.5,0.0,0,100
110,11099,3.5,3.5,0.0,0,100
111,11199,0.5,0.5,0.0,0,100
112,11299,0.5,0.5,0.0,0,100
113,11399,0.0,0.0,0.0,0,100
114,11499,0.5,0.5,0.0,0,100
115,11599,1.5,1.5,0.0,0,100
116,11699,1.0,1.0,0.0,0,100
117,11799,0.5,0.5,0.0,0,100
118,11899,0.5,0.5,0.0,0,100
119,11999,0.5,0.5,0.0,0,100
120,12099,0.0,0.0,0.0,0,100
121,12199,3.0,3.0,0.0,0,100
122,12299,0.5,0.5,0.0,0,100
123,12399,0.0,0.0,0.0,0,100
124,12499,1.0,1.0,0.0,0,100
125,12599,0.0,0.0,0.0,0,100
126,12699,0.0,0.0,0.0,0,100
127,12799,0.0,0.0,0.0,0,100
128,12899,0.5,0.5,0.0,0,100
129,12999,0.0,0.0,0.0,0,100
130,13099,0.0,0.0,0.0,0,100
131,13199,0.5,0.5,0.0,0,100
132,13299,0.5,0.5,0.0,0,100
133,13399,0.5,0.5,0.0,0,100
134,13499,1.5,1.5,0.0,0,100
135,13599,1.0,1.0,0.0,0,100
136,13699,0.0,0.0,0.0,0,100
137,13799,0.0,0.0,0.0,0,100
138,13899,0.0,0.0,0.0,0,100
139,13999,1.0,1.0,0.0,0,100
